id;opath;cpath;mgeom
5;2831,2831,222,2637,2637,1574,1574;2831,222,2637,3538,1574;LINESTRING(140.8736778 38.2551673,140.8736007 38.2551405,140.8730298 38.2549439,140.8724303 38.2561265,140.8721267 38.2560657,140.8721267 38.2560657)
9;325,325,2565,2568,2568,33,37,37,37;325,2565,2568,33,37;LINESTRING(140.8809997 38.2566672,140.880963 38.256727,140.880334 38.2577502,140.8803088 38.2577911,140.8798394 38.2577018,140.8797221 38.2576796,140.8797479 38.2576362,140.8803878 38.2565589,140.880426 38.2564947,140.880008439 38.2563668514)
6;3538,3538,2964,2961,2961,2965,3443,3440,40,2518,2518;3538,1575,163,2964,2961,2965,3443,3438,3440,2560,1517,40,30,2518;LINESTRING(140.8721267 38.2560657,140.8721267 38.2560657,140.8719795 38.2565094,140.8719507 38.2565775,140.8719125 38.2566917,140.8720217 38.2566624,140.8722957 38.2565753,140.8726726 38.2564489,140.8730882 38.2563031,140.8733238 38.2562172,140.8734672 38.2561736,140.8735688 38.2561407,140.8739801 38.256004,140.8743153 38.2558903,140.8746078 38.2557918,140.8749349 38.2556755,140.8751657 38.2555927,140.8754097 38.2555154,140.8755482 38.2554658,140.8758093 38.255371,140.876075 38.2552976,140.8761794 38.255256,140.8763263 38.255281,140.8767984 38.2554162,140.8774521 38.2556162,140.8775986 38.255661,140.8777689 38.2557108,140.8779371 38.2557596,140.8790851 38.2561022,140.8791575 38.2561235,140.8792071 38.2561403,140.8797852 38.2562985,140.8797467 38.2563651,140.879630374 38.256566236)
3;269,269,268,2468,321,2568,2568,2568,33,33;269,268,2468,1679,321,2568,33;LINESTRING(140.881120814 38.2608957785,140.8811174 38.2608203,140.8811146 38.2606773,140.8810948 38.2601142,140.8810688 38.2600455,140.8809367 38.2600037,140.880056 38.2597623,140.8805073 38.2590103,140.8810636 38.2580636,140.8811259 38.2579652,140.8809835 38.2579383,140.8808916 38.2579188,140.8803088 38.2577911,140.8798394 38.2577018,140.8797221 38.2576796,140.8797479 38.2576362,140.88018889 38.2568937743)
8;3080,3080,2961,2965,2965,2965,2965,3443,3438,3440,3440,2560,2560,30,36,36;3080,3608,3613,121,123,1848,2476,1903,219,2961,2965,3443,3438,3440,2560,1517,40,30,2517,36;LINESTRING(140.872173061 38.2588792055,140.8712522 38.2587096,140.8714221 38.2581939,140.8715771 38.257723,140.8716152 38.2576122,140.8717197 38.2576379,140.8727669 38.2578999,140.8728823 38.2579295,140.8729178 38.2578324,140.8730831 38.25735,140.8730947 38.2573129,140.8732366 38.2568508,140.8734066 38.2563878,140.8734225 38.2563441,140.8734477 38.2562516,140.8734672 38.2561736,140.8735688 38.2561407,140.8739801 38.256004,140.8743153 38.2558903,140.8746078 38.2557918,140.8749349 38.2556755,140.8751657 38.2555927,140.8754097 38.2555154,140.8755482 38.2554658,140.8758093 38.255371,140.876075 38.2552976,140.8761794 38.255256,140.8763263 38.255281,140.8767984 38.2554162,140.8774521 38.2556162,140.8775986 38.255661,140.8777689 38.2557108,140.8779371 38.2557596,140.8790851 38.2561022,140.8791575 38.2561235,140.8792071 38.2561403,140.8797852 38.2562985,140.880426 38.2564947,140.880844905 38.2566206562)
0;33,33,36,2566,2533,2533,2533,2533,2533,357,357,357,2521,3885,1080,1109,1095,3460,3460;33,36,2566,323,1725,2520,2528,2533,357,2521,360,3743,3570,3567,3883,3885,3575,3492,3495,3514,1948,1080,1084,1109,1157,3076,401,1077,1060,369,990,775,1031,501,1095,531,3460;LINESTRING(140.88018889 38.2568937743,140.8803878 38.2565589,140.880426 38.2564947,140.8809997 38.2566672,140.881479 38.2568045,140.8816008 38.2568374,140.8817105 38.2569424,140.8817955 38.2567054,140.881892 38.2563521,140.8819166 38.256264,140.8819502 38.2560961,140.8818806 38.2556594,140.8818428 38.2554649,140.8818302 38.2554124,140.8817061 38.2554252,140.881712 38.2554797,140.8818428 38.2554649,140.8824865 38.2553913,140.8828242 38.2553599,140.883676 38.255246,140.8837743 38.2552353,140.8839071 38.2552267,140.8839588 38.2552297,140.8841027 38.2552381,140.8842252 38.2552607,140.8842317 38.2552619,140.8843528 38.2552972,140.8845224 38.2553798,140.8846617 38.2554827,140.8849184 38.2557163,140.8853177 38.2560872,140.8853438 38.2561129,140.8853826 38.2561484,140.8854596 38.2561879,140.8854924 38.2562044,140.8855791 38.2562382,140.8855693 38.2562114,140.8855587 38.2561928,140.885527 38.2561449,140.8854656 38.2560718,140.8854891 38.256024,140.8854547 38.2558189,140.8854537 38.255813,140.8854087 38.2555454,140.8862308 38.2554431,140.8863163 38.2559133,140.8863399 38.2560434,140.8863517 38.256101,140.8863653 38.256188,140.8864403 38.25618,140.8869957 38.2561205,140.8870061 38.2561764,140.887062 38.2564737,140.8871 38.2567058,140.8871778 38.2571814,140.8871838 38.2572179,140.8877916 38.2572472,140.8878962 38.2572495,140.8880125 38.2572427,140.8886557 38.2571718,140.8887519 38.2571612,140.8888397 38.2571515,140.8899445 38.2570296,140.8910898 38.2569037,140.8912032 38.2568937,140.8912202 38.2569799,140.8914424 38.2581148,140.8916128 38.2589025,140.8916418 38.2590588,140.8916604 38.2591509,140.8916915 38.2593136,140.8918194 38.2599928,140.8919132 38.2604199,140.8919458 38.2605682,140.8920847 38.2605336,140.8920618 38.2604011,140.8919976 38.2600631,140.8921126 38.2600465,140.8922362 38.2600288,140.8927186 38.259844,140.8928097 38.2598061,140.8931792 38.2596561,140.8931974 38.2597045,140.8934041 38.2602534,140.8934486 38.2604097,140.893513625 38.2605300794)
1;3460,3460,532,429,427,427,372,1180,531,531;3460,532,3465,3466,514,832,864,426,429,427,406,410,430,833,515,3467,504,424,372,1180,371,3078,793,417,425,502,535,531;LINESTRING(140.893513625 38.2605300794,140.8935387 38.2605765,140.8935827 38.2606602,140.8937118 38.2609055,140.894233 38.2607585,140.8943068 38.2607596,140.8943886 38.2607692,140.8943897 38.2608202,140.8943988 38.2608748,140.8945773 38.2614283,140.8945903 38.2616475,140.8945757 38.2618413,140.8945493 38.2619524,140.8945208 38.2620727,140.8946897 38.2620519,140.894744 38.2620459,140.8959118 38.2619294,140.8958897 38.2618086,140.8959118 38.2619294,140.8973898 38.2617774,140.8982786 38.2617162,140.8988662 38.2617149,140.8991239 38.2617277,140.8991259 38.2615985,140.8985739 38.261588,140.8980663 38.2616033,140.8974618 38.2616307,140.8958897 38.2618086,140.8947263 38.2619361,140.8945493 38.2619524,140.8945757 38.2618413,140.8945903 38.2616475,140.8945773 38.2614283,140.8943988 38.2608748,140.8943897 38.2608202,140.8943886 38.2607692,140.894403 38.2606696,140.8944482 38.2605724,140.8945275 38.2604636,140.894682 38.2603253,140.8948084 38.2602009,140.8948475 38.2601491,140.8948865 38.2600828,140.8949148 38.2600145,140.8949259 38.2599642,140.8949271 38.2599223,140.894918 38.2598679,140.8948666 38.2595618,140.8948246 38.2590041,140.8948128 38.258894,140.8948196 38.2587964,140.8950253 38.258773,140.8965134 38.2586066,140.8965288 38.2586813,140.896583 38.2589451,140.8969524 38.2589975,140.896583 38.2589451,140.8965288 38.2586813,140.8965134 38.2586066,140.8968142 38.2585734,140.8967955 38.2584658,140.8956591 38.2585967,140.8950075 38.2586754,140.8948329 38.2586954,140.8948196 38.2587964,140.8948128 38.258894,140.8948246 38.2590041,140.894683 38.2590574,140.8939204 38.2593443,140.8931792 38.2596561,140.8931974 38.2597045,140.8934041 38.2602534)
7;2516,2516,31,3445,3445,1551,2690,2690,2690,2690,124,3609,3609;2516,2519,31,38,1518,1551,3445,1551,3444,1807,2690,220,1902,2477,1849,124,120,3611,3609;LINESTRING(140.879630374 38.256566236,140.8797467 38.2563651,140.8797852 38.2562985,140.8792071 38.2561403,140.8791575 38.2561235,140.8790851 38.2561022,140.8779371 38.2557596,140.8777689 38.2557108,140.8775986 38.255661,140.877512 38.2558155,140.8768353 38.2569457,140.8767811 38.2570456,140.876634 38.2570118,140.8753621 38.2567465,140.876634 38.2570118,140.8767811 38.2570456,140.876634 38.2570118,140.8753621 38.2567465,140.875059 38.2566834,140.8748785 38.2566479,140.8747618 38.2566248,140.8735111 38.2563615,140.8734225 38.2563441,140.8734066 38.2563878,140.8732366 38.2568508,140.8730947 38.2573129,140.8730831 38.25735,140.8729178 38.2578324,140.8728823 38.2579295,140.8727669 38.2578999,140.8717197 38.2576379,140.8716152 38.2576122,140.8715771 38.257723,140.8714221 38.2581939,140.8712522 38.2587096,140.872173061 38.2588792055)
2;3464,3461,530,1096,990,777,777,3561,3561,3561,3561,174,2826,3529,3529,3529,3529,3529,3529,3529,3529,3529,3529,193,993,177,3023,3023,3023,3732,3732,3732,2579,2579,170,170,1112,1112,2426,2426,2426,507,269,269;3464,3461,530,1096,500,1074,1035,373,1060,369,990,777,3561,174,2826,277,3529,193,191,993,177,3023,171,2578,3732,2579,170,3024,180,3498,2462,1112,2426,1114,507,269;LINESTRING(140.8934041 38.2602534,140.8931974 38.2597045,140.8931792 38.2596561,140.8928097 38.2598061,140.8927186 38.259844,140.8922362 38.2600288,140.8921126 38.2600465,140.8919976 38.2600631,140.8918781 38.2596005,140.8918236 38.2592983,140.8918026 38.2591373,140.8917922 38.2590448,140.8916418 38.2590588,140.8916604 38.2591509,140.8916915 38.2593136,140.8918194 38.2599928,140.8919132 38.2604199,140.8919458 38.2605682,140.8917894 38.260609,140.8914567 38.2607057,140.8906491 38.2609297,140.8903718 38.2610078,140.8895247 38.2612457,140.8893793 38.2612826,140.8892381 38.2613189,140.8885855 38.2614624,140.8880845 38.261588,140.8874328 38.2617474,140.8871923 38.2618015,140.886719 38.2619061,140.8865959 38.2619287,140.8864882 38.2619488,140.8863418 38.2619754,140.8858251 38.262065,140.8853034 38.2621502,140.8851693 38.2621633,140.8850333 38.2621766,140.8842202 38.2622304,140.8840529 38.2622389,140.8839302 38.262245,140.8836988 38.2622561,140.8836478 38.2622586,140.8836061 38.26226,140.8832907 38.2622815,140.8831553 38.2622902,140.8831599 38.2623465,140.8831757 38.2625082,140.8831802 38.2625551,140.8831908 38.2626641,140.883202 38.2627788,140.8832041 38.2628029,140.8832053 38.2628177,140.883213 38.262903,140.8832438 38.2632671,140.883213 38.262903,140.8832053 38.2628177,140.8832041 38.2628029,140.883202 38.2627788,140.8831908 38.2626641,140.8831802 38.2625551,140.8831757 38.2625082,140.8831599 38.2623465,140.8831553 38.2622902,140.8832907 38.2622815,140.8836061 38.26226,140.8836478 38.2622586,140.8836988 38.2622561,140.8839302 38.262245,140.8840529 38.2622389,140.8842202 38.2622304,140.8850333 38.2621766,140.8851693 38.2621633,140.8851881 38.2622527,140.8853091 38.2627571,140.8853391 38.2629156,140.8851868 38.2629273,140.883817 38.2629946,140.8825995 38.2630747,140.8820469 38.2630832,140.8816172 38.2630921,140.8811667 38.2630958,140.8807711 38.2630774,140.8806042 38.2630688,140.8806445 38.2629343,140.8806896 38.2627775,140.8808453 38.2622361,140.8808231 38.2621879,140.8808055 38.2621497,140.8809881 38.2621815,140.8818845 38.2623455,140.8820186 38.2624034,140.882062 38.2624448,140.8820898 38.2625077,140.88215 38.2629726,140.8821986 38.2633053,140.8822628 38.263412,140.8821986 38.2633053,140.88215 38.2629726,140.8820898 38.2625077,140.882062 38.2624448,140.8820186 38.2624034,140.8818845 38.2623455,140.8809881 38.2621815,140.8808055 38.2621497,140.8808208 38.2620914,140.8808931 38.2618302,140.880924 38.2617171,140.8809507 38.2616239,140.8810433 38.2612995,140.8810686 38.2612176,140.8811267 38.2610259,140.881120814 38.2608957785)
4;2516,2516,38,1519,1519,3439,8,2831,222,222;2516,2519,31,38,1519,2558,3441,3439,3055,8,2831,222;LINESTRING(140.879630374 38.256566236,140.8797467 38.2563651,140.8797852 38.2562985,140.8792071 38.2561403,140.8791575 38.2561235,140.8790851 38.2561022,140.8779371 38.2557596,140.8777689 38.2557108,140.8775986 38.255661,140.8774521 38.2556162,140.8767984 38.2554162,140.8763263 38.255281,140.8761794 38.255256,140.8760238 38.2551506,140.8759457 38.2551037,140.8757614 38.2553133,140.8754946 38.2554052,140.8748505 38.255616,140.8747889 38.2555717,140.8737493 38.2551951,140.8736778 38.2551673,140.8736007 38.2551405,140.87348041 38.2550990761)
